FORMAT:           OCCAM2MTDATA_1.0
TITLE:            MTpy-OccamDatafile, Profile=97.0 deg, Strike=7.0 deg
SITES:            15
   pb44
   pb43
   pb42
   pb41
   pb40
   pb39
   pb37
   pb35
   pb23
   pb25
   pb27
   pb29
   pb30
   pb32
   pb33
OFFSETS (M):      
   0.0
   2003.4
   3006.2
   3792.8
   4340.2
   4710.8
   5749.0
   6464.4
   7263.5
   7861.3
   8758.1
   9701.6
   10250.2
   11974.7
   14004.2
FREQUENCIES:      19
   7.812500e+01
   6.250000e+01
   4.687500e+01
   3.906250e+01
   3.125000e+01
   2.343750e+01
   1.953125e+01
   1.562500e+01
   1.171875e+01
   9.765625e+00
   7.812500e+00
   6.250000e+00
   4.687500e+00
   3.906250e+00
   3.125000e+00
   2.343750e+00
   1.953125e+00
   1.562500e+00
   1.171875e+00
DATA BLOCKS:      1140
SITE  FREQ  TYPE   DATUM    ERROR   
  6     13    1      0.5234   0.0434
  6     13    2     49.7565   2.8660
  6     13    5      0.6099   0.0434
  6     13    6     49.1322   2.8660
  6     14    1      0.4627   0.0434
  6     14    2     47.5440   2.8660
  6     14    5      0.5455   0.0434
  6     14    6     46.7701   2.8660
  6     15    1      0.4365   0.0434
  6     15    2     45.2641   2.8660
  6     15    5      0.5329   0.0434
  6     15    6     44.2611   2.8660
  6     16    1      0.4207   0.0434
  6     16    2     40.2239   2.8660
  6     16    5      0.5328   0.0434
  6     16    6     40.0748   2.8660
  6     17    1      0.4173   0.0434
  6     17    2     37.6523   2.8660
  6     17    5      0.5322   0.0434
  6     17    6     37.0788   2.8660
  6     18    1      0.4207   0.0434
  6     18    2     34.2345   2.8660
  6     18    5      0.5607   0.0434
  6     18    6     34.4310   2.8660
  6     19    1      0.5051   0.0434
  6     19    2     26.4916   2.8660
  6     19    5      0.6162   0.0434
  6     19    6     31.7292   2.8660
  7     1     1      0.7782   0.0434
  7     1     2     54.5623   2.8660
  7     1     5      0.7200   0.0434
  7     1     6     54.7378   2.8660
  7     2     1      0.7554   0.0434
  7     2     2     53.6877   2.8660
  7     2     5      0.6955   0.0434
  7     2     6     52.4680   2.8660
  7     3     1      0.7635   0.0434
  7     3     2     51.9045   2.8660
  7     3     5      0.7038   0.0434
  7     3     6     50.6636   2.8660
  7     4     1      0.7343   0.0434
  7     4     2     53.4333   2.8660
  7     4     5      0.6815   0.0434
  7     4     6     51.7759   2.8660
  7     5     1      0.7177   0.0434
  7     5     2     53.3075   2.8660
  7     5     5      0.6751   0.0434
  7     5     6     51.3740   2.8660
  7     6     1      0.6987   0.0434
  7     6     2     53.1553   2.8660
  7     6     5      0.6569   0.0434
  7     6     6     50.7914   2.8660
  7     7     1      0.6904   0.0434
  7     7     2     53.1080   2.8660
  7     7     5      0.6501   0.0434
  7     7     6     50.8464   2.8660
  7     8     1      0.6557   0.0434
  7     8     2     53.2547   2.8660
  7     8     5      0.6170   0.0434
